SCATS Number,Site Description,Site Type,Latitude,Longitude,Neighbours
1025,Scarborough Pickering Townline/Third Concession Rd/Altona Rd/Steeles Ave E,INT,43.83199853,-79.1594897,4608;2473;1762;2911;4175;6193;2473
1049,Ravenscroft Rd/Delaney Dr/Kingston Rd W ,INT,43.86197948,-79.0404045,7557;3021;7952;6208;7557;8818;7952
1245,Rossland Rd W ,INT,43.87644958,-79.0430953,1413;7557
1302,Barry Dr/Rosebank Rd/Sheppard Ave ,INT,43.82049928,-79.12494578,6766;9384;6766;9098;9384
1413,Delaney Dr/Riverside Dr/Rossland Rd W /Whites Rd N,INT,43.86469437,-79.06526609,1049;6208;1843;8818;3021;8818;7557;2188
1431,Third Concession Rd/Rosebank Rd/Fairport Rd/Taunton Rd ,INT,43.85655526,-79.13149051,6823;4013;1762;5412;1762;6823;4013;1762;5412
1521,3rd Concession Rd/Rossland Rd W/Church St N/Delaney Dr ,INT,43.86783767,-79.0828697,9135;1843;1843;7449;1843
1762,Whites Rd N/Finch Ave/Fairport Rd/Third Concession Rd/Rosebank Rd/Dixie Rd ,INT,43.83930185,-79.12450551,5412;9098;6766;7246;4073;9055;4013;9098;1431;4073;7246;1431;2911;9055;6766;1431;9098;7246
1843,Rossland Rd W/3rd Concession Rd/Delaney Dr/Church St N,INT,43.87003303,-79.07321924,8818;3021;1521;9135;1521;4008;1413;8818;2185;1521
2185,Church St N/Brock Rd/Westney Rd N ,INT,43.88876592,-79.070142,1843;7449;5919;2407;7449
2188,Third Concession Rd/Dixie Rd/Whites Rd N,INT,43.86084892,-79.11247868,9055;5412;9055;5412;9055;1413;5412
2222,Whitevale Rd/Scarborough Pickering Townline/Taunton Rd/Sideline 26 ,INT,43.88302633,-79.18214027,7188;4608;4608;6823;4608
2407,5th Concession Rd/Westney Rd/Brock Rd/Taunton Rd W,INT,43.90959363,-79.06492361,7997;5384;8219;2185
2473,Altona Rd/Whites Rd N/Scarborough Pickering Townline/Third Concession Rd ,INT,43.83520394,-79.14451218,4013;1025;3629;9098;2911;9384;9098;4608;1025;9098
2517,Sideline 26/Taunton Rd/Peter Matthews Dr/Sideline 22/Whitevale Rd/Whites Rd,INT,43.87532498,-79.12943947,7188;4286;5412;4530;7188;6823;5715;4286;4530;7188;4608;4286;5275;4286
2688,Kingston Rd W/Elizabeth St/Durham Regional Rd 31,INT,43.85473868,-79.05546947,7453;8818;4008;7952
2911,Third Concession Rd/Taunton Rd/Rosebank Rd/Whites Rd N/Altona Rd ,INT,43.85158398,-79.15145817,4175;1025;4013;4175;4608;4013;4175;9098;4013;2473;5412;4175;9384
3021,Rossland Rd W/Ravenscroft Rd/Riverside Dr,INT,43.87123536,-79.06263587,1843;4008;7557;1413
3201,Altona Rd/Strouds Ln/Littleford St ,INT,43.81792787,-79.13679361,9630;3629;6193;4731;9630
3629,Altona Rd/Twyn Rivers Dr/Sheppard Ave/Finch Ave,INT,43.82292528,-79.13902483,2473;3201;4008;9630;9630;4073;9098
3918,Kingston Rd/Valley Gate/Rougemount Dr/Brookridge Gate ,INT,43.80794858,-79.13220122,7932;4731;8540;4731;8540;4731
4008,Rossland Rd W/Twyn Rivers Dr/Delaney Dr/Durham Regional Rd 31/Westney Rd N,INT,43.87410498,-79.05302573,3021;6208;9384;1413;6208;7952;5384;6208
4013,Rosebank Rd/Altona Rd/Third Concession Rd/Taunton Rd/Finch Ave/Whites Rd N ,INT,43.85403969,-79.141959,9098;1431;6823;2911;2473;9098;6823;4175;1762;1431;6823;2911;5412;6823;2911;9098;5412;5412
4073,Fairport Rd/Sheppard Ave/Kingston Rd/Dixie Rd/Finch Ave/Whites Rd N/Finch Ave,INT,43.82455321,-79.10717253,7246;4521;9384;4521;6766;9055;1762;9055;1413;7246;6766;1762;9055
4175,Altona Rd/Third Concession Rd/Taunton Rd/Rosebank Rd/Whites Rd N,INT,43.85922141,-79.15459199,6823;1025;4013;4013;2911;4013;2222;4608;2911;4013;2911;5412;2911
4238,Talisman Manor /Peter Matthews Dr/Taunton Rd/Whitevale Rd ,INT,43.88685835,-79.11258947,7997;5275;4286;2517;4286;7449;2517;4286;7188;4530
4286,Taunton Rd/Peter Matthews Dr/Whitevale Rd/Talisman Manor /Sideline 26/Whites Rd,INT,43.87973841,-79.10974499,7449;4238;4530;2517;4238;5275;2517;4238;4530;5275;2517;5275;2517
4521,Kingston Rd/Durham Regional Rd 29/Fairport Rd/Dixie Rd ,INT,43.82885921,-79.0986476,9053;4073;9053;9055;4073;7246;9053
4530,Taunton Rd/Sideline 22/Talisman Manor /Whitevale Rd ,INT,43.87897204,-79.11256599,4238;2517;5412;4286;2517;4238;4286;7188;4238
4608,Scarborough Pickering Townline/Taunton Rd/Whitevale Rd/Finch Ave E,INT,43.85557947,-79.17014403,2222;1025;2222;4175;2517;2222
4731,Valley Gate/Brookridge Gate/Kingston Rd/Rougemount Dr/Littleford St ,INT,43.81062592,-79.13332202,3918;9648;9648;3918;9648;6193;3918;8540;9630;3201
5275,Whitevale Rd/Talisman Manor /Sideline 26/Whites Rd/5th Concession Rd ,INT,43.89764112,-79.11779275,4286;7997;5715;7997;4238;4286;5715;2517;4286
5384,Westney Rd N/5th Concession Rd/Church St N ,INT,43.89378166,-79.05031343,4008;8219;7449;8219;7453;8219
5412,Third Concession Rd/Whites Rd N/Dixie Rd/Taunton Rd/Fairport Rd/Finch Ave/Whites Rd N ,INT,43.85870481,-79.12210447,1762;2188;1431;2911;7246;2188;9055;2188;7449;2517;4013;7246;1431;1762;9135;4013;4013
5715,Whitevale Rd/Sideline 26/Taunton Rd/Peter Matthews Dr,INT,43.89316371,-79.13673792,5275;2222;7188;5275;7188;4238;2222;7188;2517;4238
5919,Brock Rd/Kingston Rd W ,INT,43.84811919,-79.07408526,2185;7952;8818
6193,Littleford St/Altona Rd/Rougemount Dr/Valley Gate ,INT,43.81585178,-79.13556514,9384;9630;3201;4731
6208,Delaney Dr/Rossland Rd W/Westney Rd N,INT,43.87003806,-79.05141454,1413;1049;7557;4008;3021;4008;7557;4008
6766,Whites Rd N/Barry Dr/Kingston Rd/Rosebank Rd/Fairport Rd ,INT,43.82222215,-79.11691895,4073;1762;9384;7932;1302;4073;9648;7932;1762;1302;7932
6823,Taunton Rd/Third Concession Rd/Rosebank Rd/Altona Rd,INT,43.8696675,-79.14037221,7188;4175;4013;2517;4175;1431;4175;1431;4013;4175
7188,Sideline 26/Whitevale Rd/Taunton Rd/Whitevale Rd ,INT,43.89197415,-79.1363367,2517;5275;5715;2222;2517;5275;5715;2222;2517;4238;5715;4238
7246,Fairport Rd/Whites Rd N/Dixie Rd ,INT,43.84130092,-79.1147613,4521;9055;5412;1762;4073;9055;5412;1762;4521;9053;1762
7449,Brock Rd/5th Concession Rd/Church St N/Taunton Rd/Talisman Manor,INT,43.88721809,-79.09102054,5919;2185;2407;7997;1521;2185;4286
7453,Kingston Rd W/Church St N /Brock Rd ,INT,43.85338894,-79.06083191,2688;5384;7997;9135
7557,Westney Rd N/Ravenscroft Rd/Delaney Dr/Rossland Rd W ,INT,43.86679987,-79.03911927,5384;6208;3021;1049;6208;1049;1413;1245
7932,Kingston Rd/Whites Rd N/Fairport Rd ,INT,43.81906427,-79.11547551,9648;4073;6766;9384;4073;6766;6766
7952,Durham Regional Rd 31/Ravenscroft Rd/Kingston Rd W ,INT,43.85781523,-79.04190756,4008;2688;3021;1049;8818;1049
7997,5th Concession Rd/Whitevale Rd/Talisman Manor /Brock Rd ,INT,43.90236144,-79.09706614,2407;7449;4286;5275;4286;5275;9135
8219,5th Concession Rd/Greenwood Rd/Westney Rd N/Church St N ,INT,43.91141144,-79.05791726,5384;2407;5384;5384
8540,Rougemount Dr/Brookridge Gate/Valley Gate/Kingston Rd ,INT,43.81070465,-79.12971612,3918;4731;9648;3918;9648
8818,Riverside Dr/Rossland Rd W/Elizabeth St/Delaney Dr/Church St N/Kingston Rd W ,INT,43.86132152,-79.06946558,1413;3021;1843;2688;1843;1413;1843;7952;5919
9053,Durham Regional Rd 29/Kingston Rd/Dixie Rd ,INT,43.83587194,-79.09038476,4521;4521;7246;4521
9055,Finch Ave/Dixie Rd/Fairport Rd/Third Concession Rd/Whites Rd N/Third Concession Rd ,INT,43.84345515,-79.1047382,4073;9135;5412;1762;4073;2188;4521;5412;7246;2188;1762;4073;1413;2188;7246;9098
9098,Rosebank Rd/Finch Ave/Whites Rd N/Rosebank Rd /Altona Rd/Third Concession Rd ,INT,43.83729457,-79.13427113,4013;9384;1762;4013;3629;1762;2911;2473;9384;1762;3629;4013;2473;9055;2473
9135,Finch Ave/3rd Concession Rd/Brock Rd ,INT,43.85018448,-79.07541514,9055;1521;7997;7453
9384,Rosebank Rd/Barry Dr/Sheppard Ave/Whites Rd N/Littleford St/Twyn Rivers Dr/Altona Rd ,INT,43.82008425,-79.12703261,9098;9630;1302;9630;1302;4073;9630;9098;6766;6193;4008;9630;2911
9630,Sheppard Ave/Rosebank Rd/Barry Dr/Twyn Rivers Dr/Altona Rd/Littleford St ,INT,43.81942925,-79.13004982,3629;9384;9098;9384;9384;3629;9384;9098;3201;4731;3201
9648,Brookridge Gate/Valley Gate/Kingston Rd/Rougemount Dr ,INT,43.8111465,-79.13192948,8540;4731;3918;8540;4731;3918;7932;4731
